character_1;character_2;character_3;character_4;character_5;character_6;character_7;character_8;character_9;character_10;character_11;character_12;placement;win
TFT13_Draven;TFT13_Rell;tft13_swain;TFT13_Gangplank;TFT13_TwistedFate;TFT13_Elise;TFT13_Ambessa;TFT13_Jayce;TFT13_Mordekaiser;TFT13_Rumble;TFT13_JayceSummon;;3;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Urgot;TFT13_Prime;TFT13_Nami;TFT13_Vi;TFT13_Darius;;;;5;0
TFT13_Blitzcrank;TFT13_Cassiopeia;TFT13_Chainsaw;TFT13_NunuWillump;TFT13_Silco;TFT13_DrMundo;TFT13_Mordekaiser;TFT13_Lieutenant;TFT13_Warwick;;;;4;0
TFT13_Morgana;TFT13_Vladimir;TFT13_Blitzcrank;TFT13_Cassiopeia;TFT13_Elise;TFT13_Silco;TFT13_Malzahar;TFT13_LeBlanc;TFT13_Mordekaiser;TFT13_Viktor;TFT13_Sion;;2;0
TFT13_Vladimir;TFT13_Rell;TFT13_Tristana;TFT13_Nami;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;TFT13_Rumble;;;;;7;0
TFT13_Vladimir;TFT13_Rell;TFT13_Tristana;TFT13_Nami;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;TFT13_Rumble;;;;;8;0
TFT13_Darius;TFT13_Draven;TFT13_Vladimir;TFT13_Rell;tft13_swain;TFT13_Gangplank;TFT13_Ambessa;TFT13_Mordekaiser;;;;;6;0
TFT13_Irelia;TFT13_Rell;TFT13_Blitzcrank;TFT13_Ekko;TFT13_Illaoi;TFT13_Jayce;TFT13_Malzahar;TFT13_Rumble;tft13_jinx;TFT13_Viktor;TFT13_JayceSummon;;1;1
TFT13_Amumu;TFT13_Vladimir;TFT13_Zeri;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_FlyGuy;TFT13_Garen;TFT13_Viktor;;;;;2;0
TFT13_Nocturne;TFT13_Akali;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_TwistedFate;TFT13_Ambessa;TFT13_DrMundo;TFT13_Viktor;;;;;3;0
TFT13_Lux;TFT13_Amumu;TFT13_Darius;TFT13_Zyra;TFT13_Vladimir;TFT13_Prime;TFT13_Nami;;;;;;5;0
TFT13_Fish;TFT13_Sett;TFT13_Chainsaw;TFT13_NunuWillump;tft13_elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Caitlyn;;;;;4;0
TFT13_Blue;TFT13_Zeri;TFT13_Camille;TFT13_Gremlin;TFT13_FlyGuy;TFT13_Garen;TFT13_Ekko;TFT13_Ekko;;;;;3;0
TFT13_Amumu;TFT13_Vladimir;TFT13_Prime;TFT13_Zeri;TFT13_KogMaw;TFT13_FlyGuy;TFT13_Garen;;;;;;7;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Tristana;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;TFT13_Lieutenant;TFT13_Caitlyn;;;2;0
TFT13_Tristana;tft13_swain;TFT13_Nami;TFT13_TwistedFate;TFT13_Ambessa;TFT13_Garen;TFT13_Illaoi;TFT13_Corki;TFT13_Jayce;TFT13_Rumble;TFT13_JayceSummon;;1;1
TFT13_Morgana;TFT13_Vladimir;TFT13_Cassiopeia;TFT13_NunuWillump;TFT13_Heimerdinger;tft13_elise;TFT13_Garen;TFT13_Malzahar;TFT13_LeBlanc;TFT13_Sion;;;4;0
TFT13_Blue;TFT13_Zeri;TFT13_Camille;TFT13_Gremlin;TFT13_FlyGuy;TFT13_TwistedFate;TFT13_Ekko;;;;;;8;0
TFT13_Irelia;TFT13_Vex;TFT13_Rell;TFT13_Akali;TFT13_Sett;TFT13_Illaoi;TFT13_Zoe;TFT13_Jinx;;;;;5;0
TFT13_Irelia;TFT13_Leona;TFT13_Rell;TFT13_Ezreal;TFT13_Heimerdinger;TFT13_Illaoi;TFT13_Rumble;TFT13_Jinx;;;;;6;0
TFT13_Draven;TFT13_Rell;tft13_swain;TFT13_Gangplank;TFT13_Ambessa;TFT13_Corki;TFT13_Malzahar;TFT13_Mordekaiser;;;;;6;0
TFT13_Lux;TFT13_Irelia;TFT13_Leona;TFT13_Rell;TFT13_Ezreal;TFT13_Heimerdinger;TFT13_Illaoi;TFT13_Corki;TFT13_Jayce;TFT13_JayceSummon;;;4;0
TFT13_Singed;TFT13_Irelia;TFT13_Vex;TFT13_Leona;TFT13_Rell;TFT13_RenataGlasc;tft13_swain;TFT13_Malzahar;;;;;7;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Chainsaw;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;;;;;8;0
TFT13_Lux;TFT13_Irelia;TFT13_Leona;TFT13_Rell;TFT13_Ezreal;TFT13_Beardy;TFT13_Heimerdinger;TFT13_Illaoi;TFT13_Jayce;TFT13_Rumble;TFT13_JayceSummon;;5;0
TFT13_Vladimir;TFT13_Tristana;TFT13_Prime;TFT13_Nami;TFT13_FlyGuy;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;;;;;2;0
TFT13_Urgot;TFT13_NunuWillump;TFT13_Elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Jayce;TFT13_Mordekaiser;TFT13_Caitlyn;TFT13_Warwick;TFT13_JayceSummon;;;3;0
TFT13_Zyra;TFT13_Fish;TFT13_Urgot;TFT13_Chainsaw;TFT13_NunuWillump;TFT13_Elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Caitlyn;TFT13_Warwick;;;1;1
TFT13_Vladimir;TFT13_Tristana;tft13_swain;TFT13_Nami;tft13_elise;TFT13_Ambessa;TFT13_Garen;TFT13_LeBlanc;TFT13_Sion;;;;3;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;;;;;;5;0
TFT13_Singed;TFT13_RenataGlasc;TFT13_Chainsaw;TFT13_Gremlin;TFT13_NunuWillump;TFT13_Silco;TFT13_DrMundo;TFT13_Lieutenant;;;;;1;1
TFT13_Morgana;TFT13_Singed;TFT13_Irelia;TFT13_Vex;TFT13_Rell;TFT13_RenataGlasc;TFT13_Illaoi;;;;;;4;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Urgot;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;TFT13_Lieutenant;TFT13_Viktor;;;2;0
TFT13_Morgana;TFT13_Vladimir;TFT13_Rell;TFT13_Cassiopeia;TFT13_NunuWillump;TFT13_Heimerdinger;tft13_elise;TFT13_Garen;TFT13_Sion;;;;7;0
